23994503	59412175
23994503	813143705909690368
23994503	301829187
23994503	1531585555
23994503	61675887
23994503	772419408
23994503	115763615
23994503	49706919
23994503	366182728
23994503	52259660
59412175	72821719
59412175	1278269209
59412175	770427066
59412175	373471064
59412175	53093801
813143705909690368	16751272
813143705909690368	842392388219899904
813143705909690368	19612605
813143705909690368	1078525650
813143705909690368	36983453
301829187	292785272
301829187	781931599277457408
301829187	2172461651
301829187	3447536775
301829187	131003811
1531585555	700784500658208768
1531585555	199361699
1531585555	2273293503
1531585555	145378963
1531585555	806233835310641152
61675887	122151882
61675887	54274293
61675887	72967482
61675887	68625841
61675887	67007113
772419408	947542343758090241
772419408	763904019739906048
772419408	26910839
772419408	846377166489210882
772419408	778840788327292928
115763615	2440885206
115763615	739227207541895169
115763615	14128602
115763615	3317660207
115763615	25517926
49706919	850126728
49706919	18917699
49706919	3218464527
49706919	2359874654
49706919	2815381772
366182728	14216839
366182728	99561903
366182728	126446782
366182728	395773073
366182728	419133222
52259660	37667760
52259660	260845720
52259660	2158075734
52259660	851963846671704064
52259660	24199683
